Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
05/ 06/ 2019,13100.00,40000.00,130000.00,38000.00,53750.00,67500.00,38750.00,62500.00,15100.00,14400.00
06/ 06/ 2019,13100.00,40000.00,130000.00,38000.00,53750.00,67500.00,38750.00,62500.00,15100.00,14400.00
07/ 06/ 2019,11500.00,39250.00,119000.00,28650.00,43350.00,47550.00,57250.00,42100.00,13450.00,14300.00
10/ 06/ 2019,11700.00,37150.00,120100.00,25450.00,38550.00,41600.00,52250.00,43950.00,13100.00,13900.00
11/ 06/ 2019,11700.00,36650.00,119350.00,25350.00,38700.00,41500.00,50800.00,42700.00,13150.00,13900.00
12/ 06/ 2019,11650.00,36250.00,119250.00,25000.00,38700.00,41700.00,48550.00,41000.00,13050.00,13850.00
13/ 06/ 2019,11700.00,35950.00,118750.00,25250.00,39050.00,41850.00,49750.00,40200.00,13150.00,13900.00
14/ 06/ 2019,11700.00,35650.00,118550.00,25150.00,39100.00,41950.00,50500.00,40200.00,13150.00,13900.00
17/ 06/ 2019,11700.00,34550.00,118450.00,25000.00,39500.00,41550.00,50150.00,39550.00,13150.00,13850.00
18/ 06/ 2019,11700.00,34300.00,118400.00,25000.00,39500.00,41450.00,49650.00,39100.00,13150.00,13850.00
19/ 06/ 2019,11700.00,34200.00,118400.00,24900.00,39400.00,41350.00,49650.00,39550.00,13150.00,13850.00
20/ 06/ 2019,11700.00,34150.00,118400.00,24800.00,39450.00,41200.00,49950.00,40100.00,13150.00,13850.00
21/ 06/ 2019,11700.00,33950.00,118400.00,24750.00,39200.00,41150.00,51300.00,41150.00,13150.00,13850.00
24/ 06/ 2019,11700.00,33300.00,118350.00,24850.00,39200.00,40600.00,52750.00,42650.00,13150.00,13850.00
25/ 06/ 2019,11700.00,33050.00,118200.00,24950.00,39150.00,40650.00,53100.00,42600.00,13150.00,13850.00
26/ 06/ 2019,11700.00,32850.00,118300.00,24900.00,38850.00,40500.00,53800.00,42550.00,13150.00,13850.00
27/ 06/ 2019,11700.00,32750.00,118200.00,24950.00,38850.00,40350.00,53850.00,42800.00,13150.00,13850.00
28/ 06/ 2019,11700.00,32650.00,118150.00,24850.00,38550.00,40150.00,54400.00,43800.00,13150.00,13850.00
01/ 07/ 2019,11700.00,32550.00,118100.00,24950.00,37400.00,39350.00,55050.00,46100.00,13150.00,13850.00
02/ 07/ 2019,11700.00,32550.00,117900.00,24900.00,37100.00,39200.00,55350.00,47400.00,13100.00,13850.00
03/ 07/ 2019,11700.00,32850.00,117900.00,24900.00,37100.00,39050.00,56150.00,49500.00,13100.00,13850.00
04/ 07/ 2019,11750.00,33450.00,118200.00,25000.00,36900.00,38850.00,57850.00,52400.00,13150.00,13850.00
05/ 07/ 2019,11700.00,33500.00,117750.00,24900.00,36600.00,38800.00,57300.00,52650.00,13100.00,13850.00
08/ 07/ 2019,11700.00,34350.00,117450.00,24900.00,35900.00,38350.00,58350.00,54500.00,13100.00,13850.00
09/ 07/ 2019,11700.00,34800.00,117750.00,24900.00,35950.00,38100.00,58450.00,55050.00,13100.00,13850.00
10/ 07/ 2019,11700.00,35300.00,117750.00,24950.00,35650.00,37900.00,58150.00,55800.00,13100.00,13850.00
11/ 07/ 2019,11700.00,35500.00,117750.00,24800.00,35000.00,37550.00,58000.00,56750.00,13100.00,13850.00
12/ 07/ 2019,11700.00,35800.00,117700.00,24800.00,34850.00,37400.00,58450.00,56900.00,13100.00,13850.00
15/ 07/ 2019,11700.00,36550.00,117550.00,24750.00,34650.00,37450.00,60000.00,60600.00,13100.00,13850.00
16/ 07/ 2019,11700.00,36350.00,117650.00,24700.00,34350.00,37350.00,60150.00,61000.00,13100.00,13850.00
17/ 07/ 2019,11700.00,36500.00,117750.00,24700.00,34250.00,37150.00,59650.00,61250.00,13100.00,13850.00
18/ 07/ 2019,11700.00,36500.00,117700.00,24750.00,33950.00,36900.00,59350.00,62000.00,13100.00,13850.00
19/ 07/ 2019,11750.00,36700.00,117950.00,24800.00,33850.00,36950.00,59850.00,63100.00,13100.00,13850.00
22/ 07/ 2019,11700.00,35850.00,117800.00,24750.00,33400.00,36650.00,59150.00,63450.00,13100.00,13850.00
23/ 07/ 2019,11750.00,35400.00,118050.00,24850.00,33400.00,36750.00,58900.00,64150.00,13100.00,13850.00
24/ 07/ 2019,11700.00,35100.00,117950.00,24900.00,33000.00,36300.00,58750.00,64850.00,13100.00,13850.00
25/ 07/ 2019,11750.00,34900.00,117750.00,25050.00,32650.00,36250.00,58500.00,65000.00,13100.00,13800.00
26/ 07/ 2019,11700.00,35200.00,117950.00,25000.00,32800.00,36200.00,58150.00,64800.00,13100.00,13800.00
29/ 07/ 2019,11700.00,34450.00,117750.00,24900.00,31900.00,35800.00,57650.00,68400.00,13100.00,13800.00
30/ 07/ 2019,11700.00,34100.00,117650.00,24950.00,31600.00,35650.00,57350.00,69000.00,13100.00,13800.00
31/ 07/ 2019,11700.00,33950.00,117800.00,24950.00,31700.00,35500.00,57600.00,68950.00,13100.00,13800.00
01/ 08/ 2019,11700.00,33850.00,117750.00,24950.00,31450.00,35250.00,57300.00,69000.00,13100.00,13800.00
02/ 08/ 2019,11700.00,33600.00,117750.00,24950.00,31350.00,35250.00,57600.00,68750.00,13100.00,13800.00
05/ 08/ 2019,11700.00,33500.00,117750.00,24900.00,30800.00,34800.00,60300.00,69200.00,13100.00,13800.00
06/ 08/ 2019,11700.00,33500.00,117800.00,24900.00,30550.00,34600.00,61600.00,70100.00,13100.00,13800.00
07/ 08/ 2019,11700.00,33600.00,117850.00,24900.00,30650.00,34800.00,63950.00,70700.00,13100.00,13800.00
08/ 08/ 2019,11700.00,33700.00,118000.00,24900.00,30350.00,34550.00,66850.00,71000.00,13150.00,13800.00
09/ 08/ 2019,11700.00,33800.00,119050.00,24900.00,30300.00,34550.00,70650.00,72300.00,13150.00,13750.00
12/ 08/ 2019,11700.00,34150.00,119100.00,24850.00,29950.00,34600.00,72250.00,73100.00,13100.00,13750.00
13/ 08/ 2019,11700.00,33850.00,118600.00,24700.00,29700.00,34550.00,71550.00,72750.00,13100.00,13750.00
14/ 08/ 2019,11750.00,33700.00,118800.00,24800.00,29500.00,34400.00,70750.00,73400.00,13150.00,13750.00
15/ 08/ 2019,11700.00,33200.00,118350.00,24700.00,29350.00,34150.00,69600.00,72350.00,13100.00,13750.00
16/ 08/ 2019,11750.00,33050.00,118650.00,24850.00,29300.00,34100.00,68050.00,71300.00,13150.00,13750.00
19/ 08/ 2019,11700.00,32100.00,118200.00,24600.00,28400.00,33850.00,63450.00,66700.00,13150.00,13800.00
20/ 08/ 2019,11700.00,31900.00,118250.00,25000.00,28400.00,34000.00,62300.00,65650.00,13150.00,13800.00
21/ 08/ 2019,11700.00,31750.00,118200.00,25000.00,27850.00,33850.00,61200.00,64250.00,13150.00,13800.00
22/ 08/ 2019,11700.00,31650.00,118400.00,24900.00,27550.00,33650.00,60300.00,63700.00,13150.00,13750.00
23/ 08/ 2019,11700.00,31550.00,118250.00,24900.00,27300.00,33600.00,58750.00,62750.00,13150.00,13750.00
26/ 08/ 2019,11700.00,31100.00,118200.00,24950.00,26450.00,33250.00,55750.00,60850.00,13150.00,13750.00
27/ 08/ 2019,11700.00,30800.00,118100.00,24850.00,26150.00,33250.00,55250.00,60150.00,13100.00,13750.00
28/ 08/ 2019,11700.00,30950.00,118200.00,24850.00,25950.00,33150.00,54700.00,59400.00,13150.00,13750.00
29/ 08/ 2019,11700.00,30800.00,118200.00,24850.00,25750.00,33100.00,54400.00,58600.00,13150.00,13750.00
30/ 08/ 2019,11700.00,30750.00,118100.00,24950.00,25700.00,33150.00,53400.00,57150.00,13150.00,13750.00
02/ 09/ 2019,11700.00,30450.00,117800.00,24750.00,24800.00,32850.00,53100.00,58150.00,13150.00,13750.00
03/ 09/ 2019,11700.00,30300.00,118250.00,24750.00,24750.00,32900.00,52150.00,59000.00,13150.00,13750.00
04/ 09/ 2019,11700.00,30100.00,118250.00,24700.00,24550.00,32750.00,51900.00,59550.00,13150.00,13700.00
05/ 09/ 2019,11700.00,30100.00,118250.00,24650.00,24300.00,32600.00,51350.00,59700.00,13150.00,13700.00
06/ 09/ 2019,11700.00,30050.00,118250.00,24600.00,24250.00,32500.00,50650.00,60100.00,13150.00,13700.00
09/ 09/ 2019,11700.00,30400.00,118100.00,24450.00,24050.00,32600.00,49250.00,60950.00,13150.00,13700.00
10/ 09/ 2019,11700.00,30500.00,118100.00,24400.00,24000.00,32600.00,49000.00,61400.00,13150.00,13700.00
11/ 09/ 2019,11700.00,30850.00,118000.00,24400.00,24050.00,32450.00,48350.00,60250.00,13150.00,13700.00
12/ 09/ 2019,11700.00,31050.00,118000.00,24350.00,23900.00,32400.00,47550.00,60350.00,13150.00,13700.00
13/ 09/ 2019,11700.00,31450.00,118100.00,24300.00,23750.00,32350.00,47000.00,60150.00,13150.00,13700.00
16/ 09/ 2019,11700.00,31800.00,118100.00,24150.00,23550.00,32150.00,45700.00,58950.00,13100.00,13700.00
17/ 09/ 2019,11700.00,31900.00,118100.00,24100.00,23550.00,32150.00,45300.00,58850.00,13100.00,13700.00
18/ 09/ 2019,11700.00,32150.00,118100.00,24050.00,23450.00,32050.00,44450.00,57850.00,13100.00,13700.00
19/ 09/ 2019,11700.00,32050.00,118100.00,24000.00,23300.00,32000.00,43450.00,57750.00,13100.00,13700.00
20/ 09/ 2019,11700.00,31850.00,118100.00,23950.00,23300.00,31900.00,43150.00,57200.00,13100.00,13700.00
23/ 09/ 2019,11700.00,31800.00,117950.00,23950.00,23100.00,31850.00,43150.00,56000.00,13100.00,13700.00
24/ 09/ 2019,11700.00,31750.00,118200.00,23850.00,23150.00,31750.00,43200.00,55450.00,13150.00,13700.00
25/ 09/ 2019,11700.00,31600.00,118100.00,23750.00,23150.00,31800.00,42950.00,55100.00,13150.00,13700.00
26/ 09/ 2019,11700.00,31650.00,118200.00,23700.00,23050.00,31600.00,42850.00,54750.00,13150.00,13700.00
27/ 09/ 2019,11750.00,31500.00,118200.00,23700.00,22950.00,31600.00,42650.00,54600.00,13150.00,13700.00
30/ 09/ 2019,11700.00,31550.00,118000.00,23700.00,22800.00,31650.00,42850.00,54450.00,13100.00,13700.00
01/ 10/ 2019,11700.00,31750.00,118000.00,23650.00,22800.00,31450.00,42750.00,54200.00,13100.00,13700.00
02/ 10/ 2019,11750.00,32050.00,117900.00,23600.00,22800.00,31450.00,42700.00,54750.00,13100.00,13700.00
03/ 10/ 2019,11750.00,32150.00,118050.00,23500.00,22650.00,31200.00,43000.00,55400.00,13100.00,13750.00
04/ 10/ 2019,11750.00,32300.00,118050.00,23450.00,22450.00,31250.00,42950.00,55600.00,13100.00,13750.00
07/ 10/ 2019,11750.00,32550.00,118000.00,23500.00,22650.00,31500.00,43750.00,56250.00,13050.00,13700.00
08/ 10/ 2019,11750.00,32650.00,118150.00,23450.00,22900.00,31350.00,44350.00,56400.00,13050.00,13700.00
09/ 10/ 2019,11750.00,32800.00,118150.00,23500.00,23350.00,31400.00,44250.00,55900.00,13050.00,13750.00
10/ 10/ 2019,11750.00,32900.00,118150.00,23450.00,23600.00,31350.00,44450.00,56450.00,13050.00,13700.00
11/ 10/ 2019,11750.00,33050.00,118100.00,23450.00,23950.00,31300.00,44900.00,57300.00,13050.00,13750.00
14/ 10/ 2019,11750.00,33550.00,118100.00,23350.00,25150.00,31200.00,46050.00,56250.00,13050.00,13750.00
15/ 10/ 2019,11750.00,33550.00,118200.00,23350.00,25500.00,31150.00,46200.00,56500.00,13150.00,13750.00
16/ 10/ 2019,11750.00,33750.00,118400.00,23250.00,25950.00,31350.00,45800.00,54350.00,13100.00,13800.00
17/ 10/ 2019,11750.00,33750.00,118250.00,23300.00,26050.00,31200.00,45750.00,55950.00,13100.00,13750.00
18/ 10/ 2019,11750.00,33850.00,118250.00,23350.00,26400.00,31300.00,45550.00,55950.00,13100.00,13750.00
21/ 10/ 2019,11750.00,34100.00,118050.00,23350.00,26500.00,31200.00,45200.00,56500.00,13050.00,13750.00
22/ 10/ 2019,11750.00,34100.00,118050.00,23400.00,26600.00,31250.00,45050.00,56400.00,13050.00,13750.00
23/ 10/ 2019,11750.00,34050.00,118050.00,23400.00,26550.00,31300.00,44850.00,55400.00,13050.00,13800.00
24/ 10/ 2019,11750.00,34100.00,118000.00,23400.00,26550.00,31350.00,44500.00,54450.00,13050.00,13800.00
25/ 10/ 2019,11750.00,34050.00,118050.00,23300.00,26600.00,31350.00,44350.00,54350.00,13050.00,13800.00
28/ 10/ 2019,11750.00,34100.00,118050.00,23250.00,26500.00,31150.00,42250.00,54050.00,13050.00,13800.00
29/ 10/ 2019,11750.00,34000.00,118050.00,23200.00,26350.00,31150.00,42100.00,54150.00,13050.00,13800.00
30/ 10/ 2019,11750.00,33950.00,118050.00,23200.00,26500.00,31200.00,41850.00,54000.00,13050.00,13800.00
31/ 10/ 2019,11750.00,33950.00,118250.00,23150.00,26550.00,31200.00,40950.00,51600.00,13050.00,13850.00
01/ 11/ 2019,11750.00,33900.00,118150.00,23250.00,26750.00,31150.00,41050.00,53600.00,13050.00,13800.00
04/ 11/ 2019,11750.00,33900.00,118000.00,23200.00,27150.00,31300.00,41000.00,54100.00,13100.00,13800.00
05/ 11/ 2019,11750.00,33950.00,117950.00,23200.00,27550.00,31300.00,41300.00,53800.00,13100.00,13800.00
06/ 11/ 2019,11750.00,33950.00,118000.00,23200.00,27850.00,31250.00,41000.00,53850.00,13100.00,13800.00
07/ 11/ 2019,11750.00,33950.00,117900.00,23150.00,28000.00,31350.00,41200.00,53700.00,13350.00,13800.00
08/ 11/ 2019,11750.00,33850.00,118050.00,23200.00,28150.00,31350.00,41600.00,53550.00,13100.00,13800.00
11/ 11/ 2019,11750.00,34000.00,118000.00,23400.00,28850.00,31400.00,42350.00,53700.00,13400.00,13800.00
12/ 11/ 2019,11750.00,34000.00,117950.00,23500.00,29050.00,31400.00,41900.00,53100.00,13100.00,13800.00
13/ 11/ 2019,11750.00,34200.00,117950.00,23600.00,29050.00,31400.00,42200.00,53150.00,13150.00,13800.00
14/ 11/ 2019,11750.00,34300.00,117950.00,23700.00,29200.00,31450.00,41900.00,53100.00,13150.00,13800.00
15/ 11/ 2019,11800.00,34650.00,118250.00,23850.00,29600.00,31500.00,41600.00,52800.00,13150.00,13800.00
18/ 11/ 2019,11750.00,34750.00,118000.00,24050.00,30050.00,31500.00,39800.00,50800.00,13150.00,13800.00
19/ 11/ 2019,11750.00,34750.00,118000.00,24100.00,30100.00,31500.00,39700.00,49900.00,13150.00,13800.00
20/ 11/ 2019,11750.00,34800.00,118000.00,24200.00,30450.00,31600.00,39300.00,49450.00,13200.00,13800.00
21/ 11/ 2019,11750.00,34700.00,118000.00,24250.00,30600.00,31600.00,38800.00,48600.00,13200.00,13800.00
22/ 11/ 2019,11750.00,34800.00,118000.00,24300.00,30700.00,31600.00,38500.00,47700.00,13200.00,13800.00
25/ 11/ 2019,11750.00,34850.00,118000.00,24550.00,30800.00,31550.00,36550.00,45600.00,13300.00,13800.00
26/ 11/ 2019,11750.00,34900.00,118000.00,24700.00,30850.00,31550.00,36200.00,45150.00,13200.00,13800.00
27/ 11/ 2019,11750.00,34950.00,118000.00,24800.00,30900.00,31600.00,35350.00,44350.00,13200.00,13800.00
28/ 11/ 2019,11750.00,34750.00,117950.00,24850.00,31000.00,31600.00,35200.00,43700.00,13200.00,13800.00
29/ 11/ 2019,11750.00,34700.00,117950.00,24950.00,31050.00,31650.00,34800.00,43150.00,13200.00,13800.00
02/ 12/ 2019,11750.00,34600.00,118000.00,25100.00,31600.00,31900.00,33450.00,41050.00,13250.00,13800.00
03/ 12/ 2019,11750.00,34450.00,118100.00,25150.00,31700.00,31900.00,33050.00,40750.00,13250.00,13800.00
04/ 12/ 2019,11750.00,34200.00,118050.00,25200.00,31850.00,31900.00,32450.00,40250.00,13250.00,13800.00
05/ 12/ 2019,11750.00,34200.00,118050.00,25250.00,31950.00,31850.00,32150.00,39900.00,13250.00,13800.00
06/ 12/ 2019,11750.00,34100.00,118050.00,25250.00,32000.00,31850.00,31950.00,39700.00,13250.00,13800.00
09/ 12/ 2019,11700.00,34050.00,117750.00,25350.00,32400.00,31800.00,31350.00,38700.00,13300.00,13800.00
10/ 12/ 2019,11750.00,34200.00,118050.00,25350.00,32800.00,32000.00,31300.00,38650.00,13300.00,13800.00
11/ 12/ 2019,11800.00,34050.00,118550.00,25600.00,33050.00,32200.00,31900.00,37650.00,13300.00,13850.00
12/ 12/ 2019,11750.00,34200.00,118050.00,25600.00,33150.00,32050.00,31550.00,37950.00,13300.00,13800.00
13/ 12/ 2019,11750.00,34250.00,118050.00,25700.00,33450.00,32200.00,31850.00,37750.00,13350.00,13850.00
16/ 12/ 2019,11750.00,34350.00,118050.00,25950.00,34250.00,32300.00,32300.00,37200.00,13350.00,13850.00
17/ 12/ 2019,11750.00,34550.00,118050.00,26000.00,34600.00,32350.00,32550.00,37000.00,13350.00,13850.00
18/ 12/ 2019,11750.00,34600.00,118050.00,26000.00,34950.00,32450.00,32500.00,36850.00,13400.00,13850.00
19/ 12/ 2019,11750.00,34450.00,118000.00,26100.00,35250.00,32450.00,32500.00,37100.00,13400.00,13850.00
20/ 12/ 2019,11750.00,34600.00,118000.00,26200.00,35550.00,32450.00,32700.00,37150.00,13400.00,13850.00
23/ 12/ 2019,11750.00,35000.00,118650.00,26250.00,36650.00,32550.00,34700.00,38950.00,13400.00,13850.00
24/ 12/ 2019,11500.00,34300.00,120500.00,26700.00,38000.00,32850.00,33300.00,39800.00,13300.00,13850.00
25/ 12/ 2019,10400.00,30300.00,113100.00,25400.00,33650.00,31900.00,25000.00,32200.00,13500.00,13800.00
26/ 12/ 2019,11800.00,35200.00,118800.00,26250.00,37400.00,32650.00,35250.00,39500.00,13450.00,13900.00
27/ 12/ 2019,11750.00,35000.00,118800.00,26350.00,37450.00,32600.00,35650.00,39000.00,13400.00,13850.00
30/ 12/ 2019,11800.00,34950.00,118950.00,26250.00,37550.00,32650.00,36100.00,38700.00,13450.00,13900.00
31/ 12/ 2019,11800.00,35150.00,118550.00,26250.00,37600.00,32600.00,36400.00,39150.00,13450.00,13900.00
01/ 01/ 2020,11800.00,35050.00,118450.00,26300.00,37200.00,32650.00,39400.00,41200.00,13500.00,13950.00
02/ 01/ 2020,11800.00,35050.00,118450.00,26300.00,37200.00,32650.00,39400.00,41200.00,13500.00,13950.00
03/ 01/ 2020,11850.00,35050.00,118700.00,26350.00,37250.00,32850.00,39800.00,42900.00,13550.00,13900.00
06/ 01/ 2020,11800.00,34200.00,118350.00,26050.00,37000.00,33100.00,42800.00,46900.00,13600.00,14000.00
07/ 01/ 2020,11800.00,34000.00,118300.00,25950.00,36600.00,33350.00,42950.00,47600.00,13600.00,14000.00
08/ 01/ 2020,11800.00,33950.00,118250.00,25900.00,36750.00,33400.00,43200.00,47550.00,13600.00,14000.00
09/ 01/ 2020,11800.00,33850.00,118300.00,25800.00,36800.00,33700.00,43550.00,47500.00,13650.00,14050.00
10/ 01/ 2020,11850.00,34050.00,118550.00,25900.00,37150.00,34050.00,43800.00,47600.00,13650.00,14050.00
13/ 01/ 2020,11800.00,33550.00,118150.00,25700.00,37250.00,34450.00,45200.00,48350.00,13700.00,14250.00
14/ 01/ 2020,11850.00,33400.00,118150.00,25700.00,37350.00,34850.00,45200.00,49350.00,13750.00,14300.00
15/ 01/ 2020,11850.00,33200.00,118150.00,25700.00,37250.00,35050.00,45850.00,50050.00,13750.00,14350.00
16/ 01/ 2020,11850.00,33150.00,118500.00,25650.00,37300.00,35150.00,46750.00,51200.00,13750.00,14350.00
17/ 01/ 2020,11850.00,33100.00,118150.00,25650.00,37350.00,35350.00,47000.00,52100.00,13750.00,14350.00
20/ 01/ 2020,11850.00,32800.00,118100.00,25550.00,37500.00,35550.00,47250.00,54350.00,13750.00,14400.00
21/ 01/ 2020,11850.00,32650.00,118100.00,25450.00,37500.00,35600.00,46950.00,55200.00,13800.00,14450.00
22/ 01/ 2020,11850.00,32600.00,118000.00,25350.00,37600.00,35650.00,47200.00,56300.00,13800.00,14450.00
23/ 01/ 2020,11850.00,32550.00,118050.00,25300.00,37600.00,35700.00,47750.00,57200.00,13800.00,14450.00
24/ 01/ 2020,11850.00,32500.00,118100.00,25250.00,37500.00,35700.00,47600.00,57150.00,13800.00,14450.00
27/ 01/ 2020,11850.00,32350.00,118100.00,25100.00,38000.00,35850.00,48900.00,58250.00,13800.00,14450.00
28/ 01/ 2020,11850.00,32400.00,118000.00,25000.00,38150.00,36000.00,49650.00,58500.00,13850.00,14450.00
29/ 01/ 2020,11850.00,32400.00,118050.00,25000.00,38400.00,36100.00,50150.00,58650.00,13850.00,14450.00
30/ 01/ 2020,11850.00,32400.00,118400.00,24950.00,38650.00,36250.00,50200.00,57950.00,13800.00,14450.00
31/ 01/ 2020,11850.00,32450.00,118050.00,24900.00,38850.00,36450.00,50300.00,57750.00,13800.00,14450.00
03/ 02/ 2020,11850.00,32400.00,118050.00,24750.00,39600.00,44650.00,51500.00,58150.00,13800.00,14450.00
04/ 02/ 2020,11850.00,32450.00,118050.00,24700.00,40000.00,46900.00,52200.00,58350.00,13800.00,14450.00
05/ 02/ 2020,11850.00,32450.00,118050.00,24700.00,40250.00,49850.00,52050.00,57900.00,13800.00,14450.00
06/ 02/ 2020,11850.00,32500.00,118400.00,24700.00,40700.00,51800.00,51850.00,57250.00,13800.00,14500.00
07/ 02/ 2020,11850.00,32650.00,118050.00,24750.00,41100.00,53800.00,52000.00,56800.00,13800.00,14500.00
10/ 02/ 2020,11850.00,33050.00,118050.00,24800.00,41300.00,55500.00,50850.00,53550.00,13800.00,14500.00
11/ 02/ 2020,11850.00,33200.00,118050.00,24900.00,41400.00,55700.00,50450.00,53400.00,13800.00,14500.00
12/ 02/ 2020,11850.00,33400.00,118000.00,24900.00,41200.00,55300.00,49850.00,52550.00,13800.00,14500.00
13/ 02/ 2020,11850.00,33500.00,118000.00,25050.00,40650.00,55100.00,49700.00,51800.00,13750.00,14500.00
14/ 02/ 2020,11900.00,34000.00,118150.00,25350.00,40450.00,54450.00,49400.00,50400.00,13800.00,14550.00
17/ 02/ 2020,11900.00,34300.00,118200.00,25450.00,39650.00,51700.00,47800.00,47450.00,13800.00,14600.00
18/ 02/ 2020,11850.00,34200.00,118050.00,25350.00,39550.00,50800.00,47450.00,46500.00,13750.00,14600.00
19/ 02/ 2020,11850.00,34000.00,118250.00,25450.00,39700.00,50100.00,46950.00,45500.00,13750.00,14650.00
20/ 02/ 2020,11850.00,34050.00,118250.00,25500.00,39450.00,49600.00,47700.00,44300.00,13750.00,14650.00
21/ 02/ 2020,11850.00,34200.00,117950.00,25450.00,38900.00,48800.00,48250.00,43700.00,13750.00,14700.00
24/ 02/ 2020,11850.00,34050.00,117900.00,25550.00,38050.00,47700.00,48250.00,41100.00,13750.00,14750.00
25/ 02/ 2020,11850.00,33950.00,117900.00,25500.00,37700.00,47300.00,47900.00,40450.00,13750.00,14800.00
26/ 02/ 2020,11850.00,33850.00,117900.00,25600.00,37450.00,46900.00,47350.00,39850.00,14050.00,14800.00
27/ 02/ 2020,11850.00,33600.00,117950.00,25700.00,37450.00,46850.00,46100.00,39700.00,13750.00,14850.00
28/ 02/ 2020,11850.00,33400.00,118050.00,25650.00,37150.00,46500.00,45000.00,38550.00,13750.00,14850.00
02/ 03/ 2020,11850.00,33100.00,117800.00,25550.00,36850.00,46100.00,44050.00,38300.00,14000.00,15000.00
03/ 03/ 2020,11850.00,33000.00,117850.00,25500.00,36800.00,46000.00,43500.00,38450.00,13750.00,15150.00
04/ 03/ 2020,11850.00,33000.00,117850.00,25550.00,36750.00,45750.00,43050.00,38400.00,13750.00,15350.00
05/ 03/ 2020,11850.00,32850.00,117850.00,25500.00,36800.00,45650.00,43100.00,38600.00,13700.00,15650.00
06/ 03/ 2020,11850.00,32800.00,117050.00,25550.00,36750.00,45550.00,42600.00,38350.00,13700.00,15800.00
09/ 03/ 2020,11850.00,32600.00,118300.00,25700.00,37250.00,45000.00,41700.00,37950.00,13750.00,16250.00
10/ 03/ 2020,11850.00,32550.00,118450.00,25700.00,37300.00,44900.00,41300.00,38000.00,13750.00,16250.00
11/ 03/ 2020,11850.00,32600.00,118000.00,25800.00,37450.00,44600.00,40700.00,37800.00,13750.00,16800.00
12/ 03/ 2020,11850.00,32550.00,117700.00,25800.00,37350.00,44450.00,40350.00,38200.00,13750.00,16450.00
13/ 03/ 2020,11850.00,32650.00,117700.00,25800.00,37400.00,44500.00,39650.00,38250.00,13750.00,16550.00
16/ 03/ 2020,11850.00,32900.00,117900.00,25800.00,37750.00,44100.00,37500.00,39000.00,13750.00,16650.00
17/ 03/ 2020,11850.00,32950.00,117850.00,25800.00,37800.00,44250.00,36950.00,39750.00,13750.00,16650.00
18/ 03/ 2020,11850.00,33000.00,117900.00,25750.00,37900.00,44400.00,36450.00,40000.00,13750.00,16800.00
19/ 03/ 2020,11850.00,33000.00,117900.00,25850.00,37850.00,44300.00,35900.00,40150.00,13700.00,16850.00
20/ 03/ 2020,11900.00,33000.00,117850.00,25850.00,37700.00,44400.00,35900.00,40350.00,13700.00,16950.00
23/ 03/ 2020,11850.00,32550.00,117850.00,25950.00,38900.00,44500.00,35200.00,41000.00,13700.00,17250.00
24/ 03/ 2020,11850.00,32400.00,118500.00,26050.00,39100.00,44700.00,34850.00,41550.00,13700.00,18000.00
25/ 03/ 2020,11050.00,31150.00,116300.00,26300.00,39050.00,43950.00,32150.00,33900.00,13750.00,17500.00
26/ 03/ 2020,11850.00,32000.00,118450.00,26150.00,39650.00,44450.00,34900.00,42050.00,13750.00,17650.00
27/ 03/ 2020,11850.00,32050.00,117600.00,26150.00,39900.00,44600.00,34700.00,42750.00,13750.00,17650.00
30/ 03/ 2020,11900.00,31400.00,117850.00,26100.00,40500.00,44950.00,33350.00,42350.00,13750.00,17900.00
31/ 03/ 2020,11900.00,31200.00,117900.00,26150.00,41050.00,45100.00,33150.00,42300.00,13750.00,17950.00
01/ 04/ 2020,11900.00,31050.00,118000.00,26100.00,41250.00,45200.00,32800.00,43100.00,13750.00,18000.00
02/ 04/ 2020,11900.00,30800.00,118000.00,26050.00,41250.00,45300.00,32700.00,43750.00,13800.00,18000.00
03/ 04/ 2020,11900.00,30650.00,117950.00,25950.00,41300.00,45250.00,32700.00,43850.00,13800.00,18100.00
06/ 04/ 2020,11900.00,29500.00,117800.00,25950.00,42000.00,45200.00,32900.00,44200.00,13800.00,18200.00
07/ 04/ 2020,11900.00,29450.00,117850.00,25950.00,42000.00,45250.00,32800.00,44550.00,13800.00,18200.00
08/ 04/ 2020,11900.00,29350.00,117850.00,26000.00,42150.00,45000.00,32700.00,44850.00,13800.00,18250.00
09/ 04/ 2020,11900.00,29500.00,117850.00,26050.00,42550.00,44850.00,32600.00,44400.00,13800.00,18250.00
10/ 04/ 2020,11550.00,31100.00,119150.00,28100.00,46300.00,45300.00,26300.00,32550.00,13800.00,18600.00
13/ 04/ 2020,11900.00,29450.00,117850.00,26050.00,43250.00,43800.00,32000.00,42900.00,13800.00,18300.00
14/ 04/ 2020,11900.00,29300.00,117800.00,26000.00,43100.00,43600.00,31850.00,43100.00,13800.00,18300.00
15/ 04/ 2020,11900.00,29200.00,117750.00,25850.00,43200.00,43150.00,32050.00,42250.00,13800.00,18350.00
16/ 04/ 2020,11950.00,29000.00,117700.00,25900.00,43050.00,42850.00,31000.00,41300.00,13800.00,18350.00
17/ 04/ 2020,11950.00,28800.00,117700.00,25950.00,43050.00,42600.00,30600.00,40350.00,13850.00,18350.00
