Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
22/ 10/ 2018,11750.00,34200.00,115600.00,23200.00,22950.00,25000.00,35250.00,36950.00,13400.00,13400.00
23/ 10/ 2018,11700.00,34000.00,115350.00,23150.00,23100.00,25200.00,35000.00,37250.00,13350.00,13400.00
24/ 10/ 2018,11750.00,34000.00,115550.00,23250.00,23100.00,25200.00,34850.00,36750.00,13350.00,13400.00
25/ 10/ 2018,11750.00,34100.00,115550.00,23150.00,23300.00,25400.00,34850.00,36450.00,13350.00,13400.00
26/ 10/ 2018,11750.00,34150.00,115550.00,23150.00,23350.00,25300.00,34550.00,36600.00,13350.00,13400.00
29/ 10/ 2018,11750.00,33800.00,115550.00,23150.00,23400.00,25400.00,34600.00,36700.00,13350.00,13400.00
30/ 10/ 2018,11750.00,33750.00,115500.00,23150.00,23500.00,25450.00,34350.00,36550.00,13350.00,13400.00
31/ 10/ 2018,11750.00,33900.00,115600.00,23150.00,23600.00,25500.00,34250.00,36400.00,13350.00,13400.00
01/ 11/ 2018,11750.00,33700.00,115600.00,23150.00,23600.00,25400.00,33800.00,36300.00,13350.00,13400.00
02/ 11/ 2018,11700.00,33600.00,115600.00,23150.00,23700.00,25500.00,33300.00,35900.00,13350.00,13400.00
05/ 11/ 2018,11750.00,33600.00,115600.00,23250.00,23650.00,25350.00,33250.00,36600.00,13350.00,13350.00
06/ 11/ 2018,11700.00,33500.00,115450.00,23200.00,23750.00,25350.00,33100.00,36650.00,13300.00,13350.00
07/ 11/ 2018,11750.00,33550.00,115650.00,23200.00,23850.00,25250.00,32950.00,36800.00,13350.00,13400.00
08/ 11/ 2018,11750.00,33500.00,115600.00,23200.00,24000.00,25250.00,32800.00,36700.00,13350.00,13400.00
09/ 11/ 2018,11750.00,33350.00,115600.00,23200.00,24050.00,25250.00,32600.00,36500.00,13350.00,13350.00
12/ 11/ 2018,11750.00,33600.00,115750.00,23300.00,24750.00,25100.00,33100.00,37200.00,13300.00,13350.00
13/ 11/ 2018,11750.00,33650.00,115750.00,23400.00,25000.00,25100.00,32900.00,37450.00,13300.00,13350.00
14/ 11/ 2018,11750.00,33700.00,115750.00,23600.00,25250.00,25050.00,32300.00,37100.00,13350.00,13350.00
15/ 11/ 2018,11750.00,34000.00,115750.00,23650.00,25400.00,24900.00,32200.00,37150.00,13300.00,13350.00
16/ 11/ 2018,11800.00,33950.00,115900.00,23800.00,25800.00,24850.00,32700.00,38000.00,13300.00,13350.00
19/ 11/ 2018,11750.00,34150.00,115850.00,24000.00,25800.00,24450.00,33150.00,38000.00,13300.00,13350.00
20/ 11/ 2018,10750.00,37400.00,113450.00,31350.00,28700.00,25900.00,51300.00,51700.00,13350.00,14750.00
