Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
22/ 05/ 2023,13450.00,38250.00,135250.00,31800.00,42200.00,38500.00,43100.00,41850.00,19450.00,15250.00
23/ 05/ 2023,13450.00,38400.00,135250.00,31850.00,42100.00,38750.00,43450.00,42000.00,19450.00,15250.00
24/ 05/ 2023,13450.00,38450.00,135250.00,31900.00,41750.00,38750.00,43250.00,41950.00,19450.00,15250.00
25/ 05/ 2023,13500.00,38700.00,135200.00,31900.00,41450.00,38750.00,43250.00,42150.00,19450.00,15250.00
26/ 05/ 2023,13500.00,38650.00,135250.00,31900.00,41250.00,38700.00,43600.00,42250.00,19500.00,15250.00
29/ 05/ 2023,13500.00,38950.00,135150.00,31900.00,40750.00,39000.00,43850.00,42150.00,19500.00,15250.00
